index,comments
0,"Bismillah Pak Prabowo, plisss gandeng Pak Mahfud MD 😢😢👏👏"
1,Lumayan buat lawakan pilpres nih 😂
2,"Inget kata2 Mbak Yenny Wahid, Gus Dur yang di katakan oleh dia Adalah Guru Politik nya palah di Kudeta ,apa lagi Rakyat😂😂"
3,Ternyata anis cuman buat pemecah suara aja 🤣😅..sayang sekali gk bisa dijadikan alternatif pilihan
4,"Bagaimana kalau sudah menjadi penguasa! Dukung prabowo aja deh kalau begitu, anies baswedan salah pilih wakil 😂"
5,"Udhlah gak bakal menang,bnyak tingkah aja udh tua😂"
6,"Wkwk..wah kacau kacau iki😂😂😂😂manuver PKB demi memuluskan cak imin jd Wapres bisa mendompleng demokrat yg sudah solid dr awal dg kpp,yah selamat aja buat mereka2,selnjutnya tunggu dari prabowo dan ganjar ini"
7,Sebelumnya saya pilih anies tp setelah drama ini saya blm tau milih siap tunggi menjelang pilpres aja
8,Si mulut manis 😂😂😂
9,Kasian banget AB..tadinya mau memilih beliau..tp ga jadi deh..tdk setuju dgn wakilnya
10,Wayae pak Prabowo 👍
11,"Blm tau bakal pilih siapa, yg kutau TIDAK AKAN PILIH ANIS"
12,Ambisi tanpa batas
13,KADRUN KECEWA🤣
14,"Klop duet badut wak imin- wan abud, depak ahy si mayor karbitan wkwkwk🤣🤣🤣🤣"
15,Guru nya aja d khianati ujar siapa itu rekan² ya cocok² lah mereka 😂😂😂
16,2024 penuh komedi
17,Deklarasi sesama tukang tikung 😂
18,Prabowo - Ganjar 2024
19,Fix kalah 😂
20,Cak Imin mantan napi itu bukan si?
21,Imin.. Imin... Alm. Gusdur aja dikhianati. Apalagi rakyat... Benar2 puncak komedi 😂
22,SAYA SANGAT MENDUKUNG PAK ANIES BASWEDAN UNTUK 2024🔥🔥🔥🔥🔥
23,Ternyata wan Abud petugas partainya bewok😂
24,Aku NU tapi gak milih Anis😂
25,Capres dan cawapres pinter ngibul dan ga ada prestasi... Indonesia semakin maju dan berkembang😂
26,Dua pasang manusia yg gila jabatan
27,Taktik konsultan politik Jokowi tuk menghabisi kang Anis dg memaksa Surya Paloh tuk menerima kang Imin jadi wapres nya😬🤭... tentunya dg syarat kasus menteri dr Nasdem TIDAK melebar kemana-mana 🤭
28,"DKI Jakarta dan Demokrat aja di khianati, apalagi rakyat Indonesia 😂"
29,Kalau minuman pilih yg ada cap badaknya. Kalau presiden pilih yg gak ada cap bantengnya.
30,MODEL BEGINIAN MAU MIMPIN 100 JT LEBIH RAKYAT INDONESIA......REMUKKKKK😂😂😂😂👎👎👎👎
31,"Pidato pak Anis di Surabaya deklarasi Dengan Cak Imin .! Pak Anis bilang di Bekasi di tilpun diminta kumpul dengan Elita Nasdem , setelah  bertemu baru baru diberi tahu kalo besuk akan deklarasi dengan cak Imin !  Jadi berita Koalisi dengan PKB  pak Anis tahu dalam hitungan menit ! Sangat mendadak ? Apa artinya ! Pak Anis benar benar  wayang nya pak Surya Paloh"
32,Yang golput sini kumpul
33,"Umat PKB tetap loyal ke partainya, tapi tidak pada ketuanya...
Ingat kata Yeni Wahid >Gurunya saja dikudeta apa lagi rakyat..!!
Dan lagi lagi Nu itu bukan PKB,... 
Apa lagi Musang Berbulu Kardus sudah terbentuk, nyungsepnya makin jelas terang benderang, sekian dan terima gajih 🤭😂😂😂"
34,SAYA NU TAPI BUKAN PKB CAK IMIN 🔥🙌
35,"Janji jokowi waktu kampanye ingin jadi presiden
1.BBM TIDAK AKAN NAIK, FAKTA NYA NAIK
2.STOP IMPOR PANGAN, FAKTA NYA IMPOR
3.DOLLAR 10 RIBU, FAKTA NYA ZONK
4.CIPTAKAN 10 JUTA LAPANGAN KERJA, FAKTA NYA banyak yg di phk
5.TIDAK AKAN HUTANG, FAKTANYA HUTANG MEROKET
6.CIPTAKAN KARTU SEMBAKO MURAH, FAKTANYA NGIBUL
7.EKONOMI MEROKET, FAKTA NYA HUTANG YG MEROKET
8.KARTU PINTAR SAMPAI KULIA GRATIS
9.
BAHKAN JANJI JANJI TSB SATUPUN TIDAK DI KERJAKAN,"
36,Tombol mAnies di mulut aja ———————————>
37,"Orang kalo udh haus kekuasaan berpartner ama siapapun ga jd soal, seketika masalah ideologi jadi ga ngaruh, pdhl belum tentu NU akar rumput setuju/sejalan sama cak imin. Mdh2an NU bukan PKB, NU bukan cak imin ya."
38,Bismillah AMIN u negri lebih baik  dengab Perubahan untuk Persatuan
